_1,_2
Trump Takes on Democrats and Health Law in New Twitter Blitz - The New York Times,1
"Ending Speculation, Black College Says Band Will Play at Inaugural Parade - The New York Times",0
Mexican Ex-President Who Cursed Trump’s Wall Ignored Cartels While In Office,0
CN Pistol Permits Running ’30 Percent’ Above Previous Record,0
"Syrian Refugee, American Muslim, DREAMer, Gay Activist, Join Michelle Obama For State Of The Union - Breitbart",1
Rolling Stones Announce First New Album in Decade,0
Report: Glenn Beck’s The Blaze ’Falling Apart’,0
WikiLeaks: Hillary Clinton Tried To Save Wall Street Speech After Campaign Launch - Breitbart,1
Israel Urges Jews to Leave France Following Critical UN Vote,0
Debbie Wasserman Schultz: Donald Trump ‘Not Fit to Wipe Floors of the White House’ - Breitbart,1
National Border Patrol Council Endorses Trump for President,1
Nigel Farage Vs. David Cameron In Brexit ’Debate’,0
Panetta: Trump Accused the President of Treason - Breitbart,1
Clarence Page: Black Lives Matter Chanted That They Wanted Dead Cops Because They Have No Leadership ’Like The Tea Party’ - Breitbart,0
Northwestern University Historian Claims Christianity Poses Bigger Threat Than Islamic Terrorism - Breitbart,0
Virginia Man Climbs Trump Tower with Suction Cups - Breitbart,1
Qatari Daily Publishes Ramadan Poem Outlining Jewish Plot,0
Elton John Honors Late David Bowie in L.A. - Breitbart,0
"HuffPo Policy: Trump Must Be Be Called ’Liar, Racist, Sexist Bully’ In Every Post - Breitbart",1
Texas and Other States Allowing Illegal Aliens to Adopt Children,0
"Van Jones: Trump’s Speech ’Psychopathic,’ Like Where ’There’s Some Big Authoritarian Movement’ - Breitbart",0
Triggered: NY Mag Upset That Incoming National Security Adviser Flynn Is A ’Big Fan’ Of MILO - Breitbart,1
Hillary Clinton Campaign Quiet about Seddique Mateen’s Appearance On Stage - Breitbart,1
"Donald Trump Hammers Media, Vows Lawsuit Against NY Times - Breitbart",1
Red Dragon Rising: China’s Threat to America Grows Daily - Breitbart,0
WikiLeaks: Obama Knew About Hillary Clinton’s Private Email - Breitbart,1
Top 10 Leading Heisman Trophy Candidates - Breitbart,0
Tic Tacs Denounces Trump: ’Tic Tacs Respects All Women’ - Breitbart,1
"President Obama Shifts Focus to Police Shootings, Urges ’Come Together As a Nation’ - Breitbart",1
ACLU Backs Zuckerberg Censorship of New Media on Facebook - Breitbart,0
Muslim Dad Khizr Khan to CNN: Terror ’Nothing to Do with Islam’,1
Financial Times: Mass Immigration Is Unstoppable - Breitbart,0
"Trump Campaign: Clinton ’Failed Commander-in-Chief Test,’ Held ’Desperate’ Press Conference - Breitbart",1
North Korea Threatens ’Mainland U.S.’ in Response to Largest-Ever Joint Drill on Border,0
"Trump Calls Hillary Out for Support for Refugees,Not Inner Cities",1
Lindsay Lohan Demands Meeting with Putin to Appear on Russian Talk Show,0
"Texas Valedictorian Reveals She’s ’Undocumented,’ Blames U.S., Blasts Trump in Graduation Speech",1
EXCLUSIVE – AfD’s Beatrix Von Storch: ’The EU Should Be A Fortress Against Illegal Migration’,0
Kim Kardashian Robbed at Gunpoint in Gun-Controlled Paris,0
WATCH: Beyoncé Busts Out Politically Charged ’Formation’ at Super Bowl Halftime Show - Breitbart,0
Matthews: RNC Chair’s ’Number One Goal Is To Keep Blacks From Voting’ - Breitbart,0
"Barack Obama Calls Radio Stations to Boost Clinton Turnout in FL, MI, PA - Breitbart",1
Watch: CNN’s Jake Tapper Battles Rudy Giuliani Over Clinton Marriage - Breitbart,1
Milo: ’America Is the Greatest Country in the World’ - Breitbart,1
"Hillary Hits Trump, Cruz for Brussels Response: ’Loose Cannons Tend to Misfire’ - Breitbart",0
Tech Show Attendees Marvel At Smart Gun That Won’t Fire If User’s Finger Is Wet - Breitbart,0
"U.S. Soccer Strikes Back at Women’s Bias Charges, Says Men Generate More Money - Breitbart",0
Trump Attorney: Donald ‘Has a Gift’ for Homeless Woman Abused for Protecting His Star on Hollywood Walk of Fame - Breitbart,1
Trump: The RNC Should Not Allow Kasich to Continue - Breitbart,1
Parade Float Features Jailed Hillary Clinton Being Hit with Water Balloons,1
Actor Judge Reinhold Arrested at Dallas Airport after TSA Freakout - Breitbart,0
NY Times Calls NFL Demand to Retract Concussion Story Bizarre - Breitbart,0
Students Organize ’Sh*t-In’ Protest for Gender-Neutral Bathrooms - Breitbart,0
Palestinian Wave of Terror: Israeli Man Stabbed in Sixth Attack in Two Days,0
Obama Warns Dems Against ’Tea Party Mentality’ - Breitbart,1
Homesick ’Clock Boy’ Ahmed Reportedly Returning to Texas,0
**LIVE UPDATES** Massive Winter Storm Hits East Coast - Breitbart,0
 according to Amanda Shotton,0
Hillary Clinton Tops Middle East Forum’s ’Islamist Money List’ - Breitbart,1
"**Horse Race LiveWire** Utah, Arizona Vote in Wake of Brussels Terror - Breitbart",0
Gwyneth Paltrow: ’I’m Completely Self-Made’ — Despite Famous Showbiz Parents,0
"Gun Stocks Surge, Even As Dow Jones Falls - Breitbart",0
"Missing U.S. Army Vets Could Be Buried in Mexican Cartel Grave, Fears Mother",0
CA Gov Brown Vows to Fight Trump on Climate Change: ’California Will Launch Its Own Damn Satellite’ - Breitbart,1
Environmental Group Demands Leo DiCaprio Return ’Stolen Money’ - Breitbart,0
Minecraft Passes 100 Million Units Sold - Breitbart,0
Wikileaks: Clinton Foundation Misled Employees About Results of Internal Audit - Breitbart,1
Pakistan: Man Shoots His Sisters in ’Honor Killing’ After Being Forgiven for Murdering Mother,0
Frank Gaffney: What Hillary Clinton Did ’Gets People Killed’,1
The Hill: Democrat Blame Game Rages over Clinton Loss - Breitbart,1
Roger Stone: Saying Trump ’in Bed with Putin’ is a ’Conspiracy Theory’ - While Clinton ’Does Paid Errands’ for Russian Oligarchs - Breitbart,1
Hugh Hewitt: Donald Trump Is A Disruptive Innovator - Breitbart,1
Ex-Bloomberg Editor: Why Hillary Clinton Can’t Bank on Trump’s Unpopularity - Breitbart,1
Embattled ESPN Cries Uncle: Streaming Now On the Table - Breitbart,0
Thousands Evacuated as Wildfire Threatens Celebrity Homes in Calabasas - Breitbart,0
"Hillary: Hate Unleashed By Divisive Campaign Rhetoric Contributed to Dallas, We All ’May Still Have’ ’Implicit Bias’ - Breitbart",1
Boeing CEO Meets with Donald Trump: Promises to Deliver a Cheaper Air Force One - Breitbart,1
Mobile App Tracks Microaggressions on College Campuses - Breitbart,0
VIDEO: Ohio Elector Burns Anti-Trump Letters He Received Leading Up to Electoral College Vote,0
Wikileaks: Clinton Coordinated with State Department on First Tweet About Email Scandal - Breitbart,1
"Watch Live: FRC’s Values Voters Summit in Washington, DC - Breitbart",0
Jordanian U.N. Human Rights Commissioner Blasts Trump’s ‘Hateful Slander of Foreigners’ - Breitbart,0
Michael Eric Dyson: Trump’s Nationalism Is a ’White Racist Supremacist Nationalism’ - Breitbart,0
Macklemore Torn to Shreds by the Left for ’Whitesplaining’ ‘White Privilege’ - Breitbart,0
Dow Jones Has Best Week Since 2011 Due to Trump Election Win,1
Alt-Jihad: Hillary Clinton Aide Edited Antisemitic Journal,1
John Podesta Responds to WikiLeaks: ’Don’t Have Time to Figure Out Which Docs Are Real and Which Are Faked’ - Breitbart,0
"Trump to Deliver Thanksgiving Message, More Cabinet Announcements Possible - Breitbart",1
Report: Silicon Valley ’Wants to Fix This Election’ - Breitbart,0
Donald Trump Mocks Photoshopped Marco Rubio Ad - Breitbart,1
"Mike Pence: I’m ’Grateful’ to Donald Trump, Will Campaign for Him if He Wins - Breitbart",1
Report: Marco Rubio Seeking Executive Role in the NFL - Breitbart,0
"Report: Rahami Beat Mother, Sister, Stabbed Brother",0
Louisiana State Liberals Fall For Fake Milo Tickets - Breitbart,1
Trump Campaign: Hillary Clinton’s Foundation Would Sell Political Favors in Clinton Presidency - Breitbart,1
Number of Illegal Immigrants Apprehended at the Border Continues to Climb — 40K in May - Breitbart,0
Sen. Barbara Boxer: Donald Trump Doesn’t Deserve ’Even One Woman’s Vote’ - Breitbart,1
Watch: CNN Alters Trump Tweet By Scrubbing ’Crooked’ Moniker to Describe Hillary - Breitbart,1
Army Officer Deshauna Barber Crowned Miss USA - Breitbart,0
Leo DiCaprio Pushes Climate Change During Oscar Acceptance Speech,0
Triggered Texas U. Issues Halloween Costume Guide for Greeks,0
Police Charge 2 Men with Brutally Assaulting Trump Supporter,1
Khamenei Says Talks With U.S. Are ‘Lethal Poison’ To Iran,0
Propaganda film project backfires on North Korea,0
North Korea claims missile test success,0
CDC panel recommends against using FluMist vaccine,0
Ohio teen dies from brain-eating amoeba,0
CNN’s Reality Check Team vets Trump’s claims,0
 made such a claim from prison in an interview with NBC News. Verdict: Because there is no conclusive indication that Clinton’s email was ever breached,0
Judicial Watch: Clinton IT staffer pleads 5th 125 consecutive times,1
"Brexit, tattoos have one thing in common: they’re both permanent",0
Iceland: Soccer fairy tale just got ’crazy’,0
Clear a path for a new candidate,0
Clinton: Trump’s lies ’outlandish’,1
Democrats end House sit-in protest over gun control,0
Bryan Cranston to star in ’Power Rangers’ movie,0
Iowa congressman wants bill to block $20 Tubman,0
"Amjad Sabri, famed Sufi singer, gunned down in Pakistan",0
Triple amputee doctor: Disability doesn’t define you,0
NHL announces plans for Las Vegas team,0
Louisiana sheriff’s deputy killed in shooting,0
Scrutinized TSA official resigns from agency,0
"In Latin America, requests for abortions rise as Zika spreads",0
Is Donald Trump right about Hillary Clinton?,1
UK referendum: Latest updates,0
Police recapture second jail escapees,0
Inside China’s largest ghost town,0
Low expectations for Kerry-Netanyahu meeting,0
Lewandowski: ’No more than 4’ names on Trump’s VP list,0
Timeline: How Britain got to Brexit,0
"Tornado, storms kill at least 98 in China",0
CNN predicts: ’Leave’ set to win historic EU referendum,1
"On immigration, Supreme Court split is right",1
Who’s who in the UK referendum?,0
Five reasons Europe will miss the UK,0
David Beckham backs Remain campaign,1
Flight 804: Egypt fails to pull data from damaged recorders,0
Court gets it right on race - does it matter?,1
ACLU suing Philadelphia over DNC protest permit,0
Trump hires Bush hand to direct Ohio campaign,1
GOP tweets to ’Make America Great Again’,0
Deadlocked Supreme Court deals big blow to Obama immigration plan,1
Woman wakes up with British accent after surgery,0
"Worldwide drug use steady, but heroin on rise in U.S.",0
Southern California wildfire kills 2,0
Tony Robbins hot coal walk injures dozens,0
It’s Brexit: A visual guide to the UK’s dramatic decision,0
China’s ’Cape Canaveral’ lifts lid on opaque space program,0
A fateful encounter turns teen’s life around,0
Scotland likely to seek independence after EU vote,0
At least 26 dead in West Virginia flooding,0
DREAMer: SCOTUS ruling won’t defeat us,0
RNC delegate wants to avoid voting for Trump,1
"Ralph Stanley, bluegrass music legend, dies at 89",0
"Clinton’s Israel views win out in DNC platform, for now",0
Why the U.S. is freaked out about Brexit,0
Brexit ’Leave’ campaign built victory on arguments against EU,1
Bush Treasury Secretary Paulson endorses Clinton,1
The surprising history of abortion in the U.S.,0
Aziz Ansari: Trump’s rise ’makes me afraid for my family’,0
Trump on Brexit: America is next,1
Brits search for Irish passports after Brexit,0
Brexit: Why are Brits thumbing their noses?,0
"Brexit vote wreaks financial, political havoc",0
Navy fires 2nd officer in Iran captured ship incident,0
Nigel Farage: Who is Brexit ’architect’?,0
Andy Cohen on coming out at 22: ’I didn’t think my friends would accept me’,0
Clinton campaign hails Democratic platform,1
’Whitey’ Bulger auction nets more than $100k,0
Brexit: EU leaders demand quick UK exit,0
Survivors of Boston and Orlando attacks unite,0
Maine’s first lady waits tables at harbor seafood joint,0
New Hawaii law places gun owners in database,0
Ronaldo’s Portugal sets up Poland clash,0
West Virginia flooding: At least 24 dead,0
Pentagon set to lift transgender ban,0
Trump’s shifting positions on Muslim ban,0
George Will: Trump’s judge comments prompted exit from GOP,0
"Gunmen storm hotel in Mogadishu 15 killed, police say",0
Bale-inspired Wales makes history,0
Rising GOP star Love skipping party convention,0
"Bodies identified as 2 missing family members in Florida, officials say",0
George H.W. Bush still hates broccoli,0
Brexit: Do you #Regrexit?,0
"Pope, in Armenia, describes mass killing as genocide",0
Trump: ’A lot of people’ asking to be my VP,1
China launches next-generation carrier rocket,0
Kanye West premieres ’Famous’ music video with naked celebrity look-alikes,0
"London, New York celebrate Pride after Orlando shooting",0
Pope says Christians should apologize to gays,0
West Virginia flooding: Residents returning home,0
Cops: Man used 12-year-old boy to lure girls,0
Britain’s Labour Party in turmoil over Brexit vote results,0
"At least 10 people injured at California rally, authorities say",1
What Hillary Clinton has learned since 2008,1
What will happen on ’Game of Thrones’ finale?,0
Time to push back against the big guys,0
Clinton nods to populist fervor in first response to Brexit,1
Airstrikes in Syria kill scores of civilians,0
Wimbledon 2016: Five to watch,0
Eden Hazard fires Belgium into Euro 2016 quarterfinals,0
Pride parades: U.S. cities mark events amid tight security,1
Dissecting two names for Clinton’s VP shortlist,0
How Britons feel about Brexit,0
This chart shows how the GOP primary has changed over the past 5 months,0
Donald Trump just jumped to his highest point yet in a new poll,1
NASA just announced which companies are going to supply the International Space Station through 2024 — and there’s a surprising addition,0
The US is considering a new plan for Syria — and the Kurds ’will not be happy about it’,0
7 incredible facts about Tesla’s new Gigafactory,0
Another college president is stepping down amid protests of racial injustice on campus,1
Netflix just announced its first comedy show from a YouTube star — and she’s hilarious,0
America’s most iconic retailers are shutting down stores and laying off thousands — and this could be just the beginning,0
Americans’ ’misery index’ is at its lowest point since the 1950s,0
Amazon is completely shaking up another market,0
"At least 23 killed in a hotel after gunfire, explosions erupt in Burkina Faso’s capital",0
Billionaire investor Leon Cooperman thinks the stock market is probably nearing a bottom,0
Here are 5 things that need to happen before the stock market can settle down,0
Say goodbye to iTunes Radio — Apple’s folding it into its $10 music-streaming service,0
Hyundai’s Genesis luxury brand is taking aim at Mercedes and BMW,0
5 countries dump more plastic into the oceans than the rest of the world combined,0
Pulitzer Prize-winning author says we’re thinking about money all wrong,0
"I saved almost $36,000 in 12 years by using one simple trick",0
"I rode a hoverboard around my office for a week, and here’s what I learned",0
Here’s footage from a US-led airstrike that sent millions of dollars of ISIS’ cash up in flames,0
NASA is upping the competition on SpaceX,0
Morgan Stanley says this ’underappreciated’ restaurant brand is about to explode,0
Silicon Valley bigwig explains why he’s solving what seems like a rich person’s problem,0
Iranian nuclear sanctions lifted,0
Silicon Valley’s largest taxi company just became the first high-profile causality of Uber’s war,1
"I talked with Oculus Rift creator Palmer Luckey about working at Facebook, being worth $700 million at 23, and the future of virtual reality",0
Donald Trump on Iran prisoner swap: ’I think I might have had something to do with it’,1
The 2 most dangerous numbers in the universe are threatening the end of physics,0
It’s been 25 years since the start of Operation Desert Storm,0
"Patriots’ Danny Amendola unleashed a dirty hit on a Chiefs player, and there was practically no penalty",0
12 jobs predicted to grow 30% in less than 10 years,0
A Harvard psychologist says people judge you based on 2 criteria when they first meet you,1
11 ways to get richer this year without winning the lottery,0
The No. 1 fear for investors a month ago has now become reality,0
This unique business model is taking over retail — and customers are saying they hate it,1
Report: 3 Americans kidnapped in Iraq,0
Elon Musk just released the 1st photo of Sunday’s rocket landing attempt,0
One of Africa’s most promising economies is facing a fundamental problem,0
Here’s your complete preview of this 4-day week’s big market-moving events,0
SHERIFF OF WALL STREET: We’re no longer able to bring certain insider trading cases,0
The US’ prisoner swap with Iran shows that the landmark nuclear deal ’wasn’t a nuclear deal at all’,0
SpaceX breaks a leg and misses chance at a successful rocket landing,0
Democrats are bracing for a nasty debate between Hillary Clinton and Bernie Sanders,1
’I’m very pleased that he flip-flopped’: Hillary Clinton reacts to Bernie Sanders’ gun-bill announcement,1
Trump on God: ’I don’t like to have to ask for forgiveness’,1
’Saturday Night Live’ savages GOP debate with outrageous sketch,0
DEUTSCHE BANK: We expect the stock market to go ’up and soon’,0
"China hits GDP target, but other data shows its economy is weakening",0
Donald Trump says he’s going to make Apple build computers in the US,1
"Founding member of the Eagles, Glenn Frey, dies at 67",0
"Mexico finally recaptured fugitive drug lord ’El Chapo’ Guzmán, but the fight is far from over — here’s what could come next",0
This Goldman Sachs note is behind the theory that Apple has figured out how ’to starve Google’s core business into irrelevance’,1
Students are freaking out on Yik Yak after Donald Trump swore and flubbed a Bible verse during a speech at a Christian university,1
Exxon’s gigantic oil discovery puts it squarely in the middle of a huge political battle,0
Here’s the real story behind Martin Luther King Jr.’s greatest moment,0
Biotech investor: ’None of us were as smart as we thought we were’,0
A Taco Bell exec who was fired after allegedly attacking an Uber driver is now suing him for $5 million,0
The amazing perks of being a NASA astronaut,0
The Only Thing In The Universe That Baffles Neil deGrasse Tyson,0
A new poll shows Bernie Sanders annihilating Hillary Clinton in New Hampshire,1
Netflix soars on earnings beat,0
A ’blizzard for the ages’ could hit the Northeast this weekend,0
Macy’s just announced the end of department stores as we know them,0
Chris Christie just vetoed New Jersey’s law on ’smart guns’ — here’s how they work,0
GATES: Don’t expect the nuclear agreement to lead to a more moderate Iran,0
Martin Shkreli is looking for a new lawyer,0
Donald Trump just grabbed Sarah Palin’s endorsement,1
The hedge funder who published a 99-page report to shake up Yahoo just dropped another bombshell on a huge target,0
This is the most heartbreaking chart you’ll see all day,0
How 3 stocks decimated David Einhorn’s investment performance,0
The 10 best iPhone apps you should use in 2016,0
Senior bankers are doing something unheard of with their bonuses to hold on to junior staff,0
"Kevin Love made an oddly worded statement about LeBron James, and things seem to be getting awkward again",0
WILD DAY ON WALL STREET: Here’s what you need to know,0
Obama mocks Republican rhetoric on the economy: ’It’s terrible and on fire and covered in bees’,1
Goldman Sachs is swimming against the tide,0
Billionaire VC says that most companies will eventually pay an Amazon ’tax’,0
"There’s a ‘very strong possibility’ that ’El Chapo’ will go to America’s toughest prison, the ’Alcatraz of the Rockies’",0
Biotech stocks explode in late rally,0
Harvard just proposed a radically new approach to college admissions in America,0
Bill Ackman is getting slammed in 2016,0
Here’s how much you’d have to earn to buy a house and live comfortably in 23 US cities,0
Billionaire investor Steve Mandel’s strategy can be summarized in one word,0
We tried KFC’s controversial new chicken — here’s why you shouldn’t believe the critics,0
One type of popular supplement may be doing more harm than good,0
"Disturbing images of the mold, mushrooms, and bullet holes in Detroit’s schools that led to teachers’ massive ’sickout’",0
"What 2,000 calories looks like at every major fast-food chain",0
GEORGE SOROS: The world is running into something it doesn’t know how to handle,0
Google is paying Apple $1 billion just to stay as the default search engine on the iPhone,0
’Cruz is going down’: Donald Trump celebrates new Iowa poll,1
"A top Apple analyst agrees iPhone sales will fall, but says that’s a huge buying opportunity",0
2 stats from Boeing perfectly capture what’s happening in the world economy right now,0
Yahoo reportedly rejected ’several’ offers to buy its core business,1
Why the new ’leaked’ Android numbers put Google in such an uncomfortable position,0
Leaked numbers show Uber generated more money in the third quarter of 2015 than it did in all of 2014,0
There’s a worrisome problem with electric cars that no one’s talking about,0
"Wall Street is rolling its eyes at this comment from the Vice President of China, but it actually makes sense",1
The only way Japan can solve its devastating sex problem,0
Former Oklahoma policeman sentenced to 263 years in prison for raping 4 women,1
"This is what you get when you spend $15,000 a night on a hotel room in Vegas",0
"The player that saved the Mets season was looking for a mega-deal, and now he’s getting squashed in free agency",0
"Obama: Reaching Out to Adversaries, Alienating Allies",1
George Michael and Carrie Fisher: The Week in Pop-Culture Writing,0
The New Reality TV,0
5 Numbers That Explain Education in 2016,0
The Atlantic  Politics & Policy Daily: Happy GRU Year,0
What Would Change Your Mind About President Trump?,1
The Atlantic Daily: Actions and Reactions,0
Does Anyone Know What to Make of Obama’s Sanctions?,0
Ten American Foreign Policy Luminaries Who Died in 2016,0
The Irony of Inclusivity,0
"2016, Summed Up in a Word",0
Will America’s Nuclear Weapons Always Be Safe From Hackers?,0
The Key to Putin’s Cyber Power,0
U.S. Law Enforcement Fatalities Increased In 2016,0
How to Stop Short-Term Thinking at America’s Companies,0
Obama’s Faith in White America Was Not Misplaced,0
"Obama’s Environmental Legacy, in Two Buttes",0
The CDC’s New Quarantine Rule Could Violate Civil Liberties,0
Will the Alabama Crimson Tide Keep Rolling?,0
Embracing an Ordinary Economy,0
2016: A Year Defined by America’s Diverging Economies,0
The Year in Religion and Politics,0
Will Law Enforcement Support Trump’s Immigration Plans?,0
"December’s Best Reads: Painkillers, a Pentagon Scandal, and Google’s New Financial Philosophy",0
’He Was the Nationalist Candidate’,0
"And, Scene: Hell or High Water",0
ISIS Ends Its Separate Peace With Turkey,0
"And, Scene: American Honey",0
The Atlantic Daily: Turning Points,0
The Atlantic  Politics & Policy Daily: Congress Clocks In,0
The Era of Republican Overreach Begins,0
How Atheists and Agnostics Let Christians Dominate Congress,0
When America Last Had Two Presidents at One Time,0
The Free-College Dream Didn’t End With Trump’s Election,0
"Donald Trump’s Interests vs. America’s, Dubai Edition",1
 where the   appears likely to spend a significant amount of time. For the past few decades,0
Don’t Read Too Much Into the Vermont Hack Debacle,0
Why the Technology in ’Rogue One’ Is So Old-Fashioned,0
The Bachelor Gives Nick the Redemption Edit,0
Mariah Carey Feeds the Schadenfreude Cycle,0
